,Date,Open,High,Low,Close,Adj Close,Volume,3day_before_change
0,2018-04-27,38.0,40.889998999999996,37.0,39.73,39.73,16392400,0.0
1,2018-04-30,39.904999,40.189999,37.529999,38.630001,38.630001,3312100,0.0
2,2018-05-01,38.700001,39.889998999999996,37.849998,39.450001,39.450001,1285600,0.0
3,2018-05-02,39.849998,40.5,38.75,39.32,39.32,1251300,0.0
4,2018-05-03,39.689999,42.560001,38.810001,41.959998999999996,41.959998999999996,2783600,0.0
5,2018-05-04,42.400002,42.66,41.009997999999996,41.09,41.09,763500,0.0
6,2018-05-07,41.650002,41.911999,41.040001000000004,41.310001,41.310001,630800,0.0
7,2018-05-08,41.5,43.68,40.5,43.220001,43.220001,821200,0.0
8,2018-05-09,44.439999,44.869999,43.244999,44.099998,44.099998,1178100,0.0
9,2018-05-10,44.880001,46.699001,43.66,44.009997999999996,44.009997999999996,1467900,0.0
10,2018-05-11,44.560001,45.889998999999996,44.009997999999996,44.369999,44.369999,761900,0.0
11,2018-05-14,44.990002000000004,45.727001,43.369999,44.189999,44.189999,1031900,0.0
12,2018-05-15,44.389998999999996,45.73,43.494999,45.459998999999996,45.459998999999996,423000,0.0
13,2018-05-16,45.34,45.650002,44.560001,45.23,45.23,299000,0.0
14,2018-05-17,45.200001,46.400002,44.549999,44.900002,44.900002,339400,0.0
15,2018-05-18,44.75,45.0,44.360001000000004,44.779999,44.779999,350800,0.0
16,2018-05-21,45.5,45.5,41.720001,42.98,42.98,804400,0.0
17,2018-05-22,43.240002000000004,44.720001,42.851002,43.049999,43.049999,1062500,0.0
18,2018-05-23,43.639998999999996,45.619999,43.099998,45.419998,45.419998,1125400,0.0
19,2018-05-24,45.939999,47.700001,45.296001000000004,46.799999,46.799999,1011700,0.0
20,2018-05-25,47.23,48.900002,46.106998,46.369999,46.369999,678000,0.0
21,2018-05-29,46.669998,49.330002,45.855,48.43,48.43,931100,0.0
22,2018-05-30,48.900002,51.0,48.560001,49.990002000000004,49.990002000000004,830900,0.0
23,2018-05-31,50.130001,51.201,49.529999,49.810001,49.810001,867100,0.0
24,2018-06-01,50.279999,50.740002000000004,49.759997999999996,50.119999,50.119999,564700,0.0
25,2018-06-04,51.0,54.150002,50.540001000000004,53.650002,53.650002,1121200,0.0
26,2018-06-05,54.290001000000004,58.279999,52.0,54.59,54.59,2463600,0.0
27,2018-06-06,55.630001,57.380001,54.360001000000004,57.360001000000004,57.360001000000004,989500,0.0
28,2018-06-07,58.950001,59.860001000000004,53.5,55.990002000000004,55.990002000000004,3617100,0.0
29,2018-06-08,58.25,60.450001,55.310001,57.919998,57.919998,7147600,0.0
30,2018-06-11,58.299999,60.0,58.200001,59.540001000000004,59.540001000000004,2131400,0.0
31,2018-06-12,60.490002000000004,63.349998,60.0,61.82,61.82,2408600,0.0
32,2018-06-13,63.279999,64.970001,62.0,63.77,63.77,2126700,0.0
33,2018-06-14,64.989998,65.816002,63.099998,63.529999,63.529999,1932200,0.0
34,2018-06-15,63.09,64.58000200000001,62.299999,63.950001,63.950001,3584200,0.0
35,2018-06-18,63.509997999999996,66.191002,61.645,63.900002,63.900002,1553300,0.0
36,2018-06-19,62.139998999999996,64.699997,57.599998,63.869999,63.869999,3791400,0.0
37,2018-06-20,64.66999799999999,66.800003,62.029999,62.459998999999996,62.459998999999996,2381500,0.0
38,2018-06-21,63.060001,63.189999,57.470001,57.59,57.59,3209100,0.0
39,2018-06-22,58.900002,58.990002000000004,55.0,57.549999,57.549999,4039300,0.0
40,2018-06-25,55.580002,55.654999,52.049999,55.0,55.0,2847100,0.0
41,2018-06-26,55.490002000000004,56.969002,54.900002,56.470001,56.470001,1601600,0.0
42,2018-06-27,56.950001,57.200001,51.740002000000004,51.77,51.77,2267000,0.0
43,2018-06-28,51.619999,54.0,50.344002,53.040001000000004,53.040001000000004,2312000,0.0
44,2018-06-29,53.669998,54.0,51.831001,52.950001,52.950001,1636900,0.0
45,2018-07-02,52.459998999999996,53.16,50.5,52.34,52.34,1933500,0.0
46,2018-07-03,52.459998999999996,53.5,51.849998,51.970001,51.970001,721700,0.0
47,2018-07-05,52.490002000000004,55.389998999999996,51.592999,54.619999,54.619999,2172000,0.0
48,2018-07-06,54.75,55.959998999999996,54.07,54.950001,54.950001,1177600,0.0
49,2018-07-09,55.279999,56.490002000000004,54.870998,55.349998,55.349998,901400,0.0
50,2018-07-10,55.77,55.77,52.189999,52.369999,52.369999,1583100,0.0
51,2018-07-11,52.0,53.759997999999996,51.610001000000004,51.98,51.98,1120300,0.0
52,2018-07-12,52.240002000000004,56.439999,51.5,55.369999,55.369999,2377700,0.0
53,2018-07-13,55.380001,56.0,54.68,55.330002,55.330002,1038900,0.0
54,2018-07-16,55.25,57.278999,54.900002,55.049999,55.049999,830900,0.0
55,2018-07-17,54.5,55.400002,52.939999,54.09,54.09,1461300,0.0
56,2018-07-18,53.93,54.599998,52.91,53.049999,53.049999,939000,0.0
57,2018-07-19,52.93,53.810001,51.93,52.360001000000004,52.360001000000004,1209100,0.0
58,2018-07-20,52.25,52.764998999999996,51.709998999999996,52.209998999999996,52.209998999999996,663100,0.0
59,2018-07-23,51.970001,55.849998,51.75,55.529999,55.529999,1260300,0.0
60,2018-07-24,56.119999,57.5,52.900002,53.790001000000004,53.790001000000004,1763700,0.0
61,2018-07-25,53.759997999999996,55.661999,53.759997999999996,54.689999,54.689999,555400,0.0
62,2018-07-26,54.009997999999996,55.880001,53.77,55.509997999999996,55.509997999999996,1622600,0.0
63,2018-07-27,56.73,57.0,53.5,54.82,54.82,1317500,0.0
64,2018-07-30,54.919998,55.240002000000004,50.060001,51.709998999999996,51.709998999999996,2140100,0.0
65,2018-07-31,51.889998999999996,54.959998999999996,51.509997999999996,53.900002,53.900002,1178200,0.0
66,2018-08-01,54.299999,56.150002,54.195,55.75,55.75,895500,0.0
67,2018-08-02,55.389998999999996,59.18,55.0,58.91,58.91,1361100,0.0
68,2018-08-03,59.150002,59.599998,56.25,57.009997999999996,57.009997999999996,858300,0.0
69,2018-08-06,57.16,60.389998999999996,57.16,60.0,60.0,957300,0.0
70,2018-08-07,60.75,60.950001,59.456001,59.889998999999996,59.889998999999996,919600,0.0
71,2018-08-08,59.450001,61.810001,59.200001,61.349998,61.349998,854600,0.0
72,2018-08-09,61.669998,62.150002,60.174999,60.450001,60.450001,820200,0.0
73,2018-08-10,60.299999,60.450001,57.119999,58.200001,58.200001,1525100,0.0
